Title,Authors,Description,Category,Publish Date (Year)
The Joy of Cockatiels,"By Richmond, Howard","A guide to keeping a cockatiel as a pet, with suggestions for selecting, feeding, housing, caring for, taming, and training."," Pets , Birds",1984
Faraway Summer,"By Hurwitz, Johanna and Azarian, Mary (ILT)","In the summer of 1910, Dossi is surprised and terrified to discover that her sister is sending her to a Vermont farm on a charity-sponsored vacation. The landscape and the people of Vermont are very different from her urban Jewish tenement, but Dossi is enchanted by the big blue sky and the peaceful countryside. She longs to make Emma Meade, the brooding daughter of her Christian host family, her friend, and she fills a journal with her thoughts, fears, and impressions of a universe very different from her own. And soon Dossi begins to realize that, sometimes, worlds apart are not so far away from each other after all. 01-02 Young Hoosier Book Award Masterlist (Gr 4-6)"," Juvenile Fiction , Religious , Jewish",2000
Delia Smith's Summer Collection: 140 Recipes fo,"By Smith, Delia, Knab, Peter (PHT), and Knab, Peter","Delia Smith's Summer Collection was the most phenomenal number-one bestseller in British publishing history, with more than one million hardcovers sold. Now this Martha Stewart from across the pond has adapted her clear, simple, inspirational recipes for American cooks.Delia Smith's cookbook is a celebration of summer and all its glorious ingredients. She has distilled the essence of summer into a collection that draws the sun into the kitchen - whatever the weather.From early May to September a dazzling progression of summer produce brings with it freshness, excitement, and the anticipation of what is new. Delia Smith takes this as her inspiration and introduces us to the more unusual ingredients that are becoming increasingly popular: such as fresh lemongrass, cilantro, and sorrel. More familiar ingredients are transformed by subtle influences of Californian, Italian, Spanish, Greek, and Oriental flavors and ideas."," Cooking , Seasonal",1995
A Stranger in the Family: A Novel of Suspense,"By Barnard, Robert","From Robert Barnard, the internationally acclaimed Diamond Dagger–winning crime writer . . . Kit Philipson has always felt like something of a stranger in his family. Growing up as the only child of professional parents in Glasgow, Scotland, he had every advantage. His mother was a teacher; his father, a journalist, escaped from Nazi Germany at the age of three on one of the 1939 Kindertransports. But on her deathbed, Kit’s mother tells him he was adopted and that his birth name was Novello. Soon, vague memories of his early life begin to surface: his nursery, pictures on the wall, the smell of his birth mother when she’d been cooking. And, sometimes, there are more disturbing memories—of strangers taking him by the hand and leading him away from the only family he had ever known. A search of old newspaper files reveals that a three-year-old boy named Peter Novello was abducted from his parents’ holiday hotel in Sicily in 1989. Now the young man who has known himself only as Kit sets out to rediscover his past, the story of two three-year-old boys torn from their mothers in very different circumstances. Kit’s probing inquiries are sure to bring surprises. They may also unearth dangerous secrets that dare never be revealed. With sharp wit and deep insight, Robert Barnard sweeps away all preconceptions in this powerful study of maternal love and the danger of obsession."," Fiction , Mystery & Detective , Traditional British",2010
The Essential Book of Interviewing: Everything You Need to Know from Both Sides of the Table,"By Kanter, Arnold B.","In today's tough job market, the interview process is more important than ever. But to be successful in the interview game each side needs to know what the other is really looking for. The Essential Book of Interviewing gives interviewers and interviewees the principles and techniques they need to master the process. In a clear and highly readable style, Arnold B. Kanter explains how job seekers and interviewers can:-- Give and get the information they need-- Ask the right questions and avoid the wrong ones-- Prepare for the interview and make decisions-- Achieve diversity and avoid illegal hiring practicesThe result is the most complete and helpful book on interviewing ever written. Whether you're seeking your first job or hiring your hundredth employee you can't afford to be without The Essential Book of Interviewing."," Business & Economics , Careers , General",1995
Avoiding Mr. Wrong (and What To Do If You Didn't),"By Arterburn, Stephen and Rinck, Meg J.","You know the man.  He's the one who looks good at a glance -- but not so good once you get to know him.  What kind of women fall for him, and why?  What are the chances he will change?  And what if you've already married him?More than just a checklist of men to steer clear of, Avoiding Mr. Wrong is a powerful tool to help women learn more about themselves and the Mr. Wrongs to whom they often feel drawn.  Those men include:  The Control  Freak, The Mama's Boy, The  Cowardly Lion, The Ungodly Man, and Mr. Wonderful.Complete with a diagnostic quiz and quick reference lists, Avoiding Mr. Wrong is ideal for women whose hopes have been dashed again and again by a seemingly promising relationship.  The book helps them to see more clearly, think more rationally, and act more wisely in the pursuit of Mr. Right."," Family & Relationships , Love & Romance",2001
"Comprehensive Cancer Care: Integrating Alternative, Complementary, and Conventional Therapies","By Curtin, Sharon and Gordon, James S.","""This book represents truly pioneering work. It brings much needed information about the best of new cancer treatments to those who need it most and it does so with compassion and an inspired bedside manner.""-Dean Ornish, M.D.Drawing on the studies and critiques of many of the world's most gifted researchers and clinicians, this book scientifically explores the most promising complementary and alternative therapies-and sifts through the often frustrating and confusing barrage of information and misinformation about them-to provide readers with the direction and help they need to create an individualized cancer-care strategy. Comprehensive Cancer Care includes reports on the most accepted and researched complementary and alternative practices, empowering advice for patients with clear action steps for speaking to doctors, and critical discussion of cutting-edge interventions."," Health & Fitness , Diseases , Cancer",2001
Chindia: How China and India Are Revolutionizing Global Business,"By Engardio, Pete (EDT)","The best minds at BusinessWeek explore ways your company can survive-and thrive-amid the business growth and innovation of China and IndiaThe economic rise of China and India has changed the way the world does business-and today's companies need to step up their game. This in-depth report, edited by a senior writer at BusinessWeek, goes behind the headlines of the new “megamarkets” to explore how your company can stay competitive. With a diverse array of viewpoints, ideas, and forward-thinking strategies, Chindia discusses new avenues businesses can use to embrace change and encourage growth.Brings together reporting and analysis on China's and India's emerging markets, from the reporters of the world's most widely read business magazineProvides need-to-know information for you to plan for the future of your businessFeatures an introduction from Engardio, as well as chapter introductions explaining how the stories fit together and concluding summaries of major points for each chapter"," Political Science , Political Economy",2006
LOST AND FOUND: A Woman Revisits Eighth Grade,"By Israeloff, Roberta","When Roberta Israeloff opened her eighth-grade diary for the first time in thirty years, she discovered it wasn't an easy read. Its pages took her back to a critical year in the tumultuous, treacherous passages of adolescence - the time, in Carol Gilligan's words, ""when girls are in danger of drowning or disappearing.""Israeloff didn't drown that year - her grades didn't plummet, she didn't seriously rebel - nor did she disappear. But the metamorphosis she underwent was no less profound for being a quiet one. The ambitious, athletic, competitive ""tomboy"" who loved math and science was transformed into an introverted, tentative young woman who had discovered the love of words that would make her a writer but had lost the bold, unconstrained voice of her childhood.With her journal entries as a point of entry, Israeloff relives that watershed year and the turnings it marked in her sexual, emotional, and intellectual identity. Reaching back in time and forward to her present as a writer, wife, and mother, she has woven a searching account of the bittersweet realities of growing up female, one that will resonate with women of all ages."," Self-help , Affirmations",1996
George W. Bushisms: The Slate Book of Accidental Wit and Wisdom of Our 43rd President,"By Bush, George W. and Weisberg, Jacob (EDT)","""They misunderestimated me.""  Or did they?  Judge for yourself. Here are over 100 memorable misstatements by our syntactically challenged president, collected, annotated, and introduced by Slate magazine's Jacob Weisberg.  ""I know the human being and fish can coexist peacefully.""  ""Families is where our nation finds hope, where wings take dream.""  ""We'll let our friends be the peacekeepers and the great country called America will be the pacemakers.""  ""It's clearly a budget. It's got a lot of numbers in it.""  ""I know how hard it is for you to put food on your family.""  ""I do know I'm ready for the job [the presidency]. And if not, that's just the way it goes."""," Humor , Topic , Politics",2001
